,model,metric,fold,value
475,RandomForest,relative_recall,5,0.8571428571428571
476,RandomForest,relative_recall,6,0.9285714285714286
477,RandomForest,relative_recall,7,1.0
478,RandomForest,relative_recall,8,0.8333333333333334
479,RandomForest,relative_recall,9,0.8181818181818182
480,GradientBoosting,accuracy,0,0.7792207792207793
481,GradientBoosting,accuracy,1,0.8051948051948052
482,GradientBoosting,accuracy,2,0.7402597402597403
483,GradientBoosting,accuracy,3,0.8181818181818182
484,GradientBoosting,accuracy,4,0.7662337662337663
485,GradientBoosting,accuracy,5,0.7532467532467533
486,GradientBoosting,accuracy,6,0.8051948051948052
487,GradientBoosting,accuracy,7,0.7532467532467533
488,GradientBoosting,accuracy,8,0.6710526315789473
489,GradientBoosting,accuracy,9,0.6710526315789473
490,GradientBoosting,precision,0,0.6190476190476191
491,GradientBoosting,precision,1,0.7
492,GradientBoosting,precision,2,0.6206896551724138
493,GradientBoosting,precision,3,0.782608695652174
494,GradientBoosting,precision,4,0.6551724137931034
495,GradientBoosting,precision,5,0.6333333333333333
496,GradientBoosting,precision,6,0.7
497,GradientBoosting,precision,7,0.6333333333333333
498,GradientBoosting,precision,8,0.5111111111111111
499,GradientBoosting,precision,9,0.5161290322580645
500,GradientBoosting,recall,0,0.9629629629629629
501,GradientBoosting,recall,1,0.7777777777777778
502,GradientBoosting,recall,2,0.6666666666666666
503,GradientBoosting,recall,3,0.6666666666666666
504,GradientBoosting,recall,4,0.7037037037037037
505,GradientBoosting,recall,5,0.7037037037037037
506,GradientBoosting,recall,6,0.7777777777777778
507,GradientBoosting,recall,7,0.7037037037037037
508,GradientBoosting,recall,8,0.8846153846153846
509,GradientBoosting,recall,9,0.6153846153846154
510,GradientBoosting,f1,0,0.7536231884057971
511,GradientBoosting,f1,1,0.7368421052631579
512,GradientBoosting,f1,2,0.6428571428571429
513,GradientBoosting,f1,3,0.72
514,GradientBoosting,f1,4,0.6785714285714286
515,GradientBoosting,f1,5,0.6666666666666666
516,GradientBoosting,f1,6,0.7368421052631579
517,GradientBoosting,f1,7,0.6666666666666666
518,GradientBoosting,f1,8,0.647887323943662
519,GradientBoosting,f1,9,0.5614035087719298
520,GradientBoosting,balanced_accuracy,0,0.8214814814814815
521,GradientBoosting,balanced_accuracy,1,0.7988888888888889
522,GradientBoosting,balanced_accuracy,2,0.7233333333333334
523,GradientBoosting,balanced_accuracy,3,0.7833333333333333
524,GradientBoosting,balanced_accuracy,4,0.7518518518518519
525,GradientBoosting,balanced_accuracy,5,0.7418518518518519
526,GradientBoosting,balanced_accuracy,6,0.7988888888888889
527,GradientBoosting,balanced_accuracy,7,0.7418518518518519
528,GradientBoosting,balanced_accuracy,8,0.7223076923076923
529,GradientBoosting,balanced_accuracy,9,0.6576923076923077
530,GradientBoosting,mcc,0,0.6161609537999421
531,GradientBoosting,mcc,1,0.5849208388379199
532,GradientBoosting,mcc,2,0.4398765500800706
533,GradientBoosting,mcc,3,0.5907908398283784
534,GradientBoosting,mcc,4,0.49604652413672967
535,GradientBoosting,mcc,5,0.4733002574487753
536,GradientBoosting,mcc,6,0.5849208388379199
537,GradientBoosting,mcc,7,0.4733002574487753
538,GradientBoosting,mcc,8,0.4292092356444621
539,GradientBoosting,mcc,9,0.3044563782253105
540,GradientBoosting,tn_rate,0,0.44155844155844154
541,GradientBoosting,tn_rate,1,0.5324675324675324
542,GradientBoosting,tn_rate,2,0.5064935064935064
543,GradientBoosting,tn_rate,3,0.5844155844155844
544,GradientBoosting,tn_rate,4,0.5194805194805194
545,GradientBoosting,tn_rate,5,0.5064935064935064
546,GradientBoosting,tn_rate,6,0.5324675324675324
547,GradientBoosting,tn_rate,7,0.5064935064935064
548,GradientBoosting,tn_rate,8,0.3684210526315789
549,GradientBoosting,tn_rate,9,0.4605263157894737
550,GradientBoosting,fp_rate,0,0.2077922077922078
551,GradientBoosting,fp_rate,1,0.11688311688311688
552,GradientBoosting,fp_rate,2,0.14285714285714285
553,GradientBoosting,fp_rate,3,0.06493506493506493
554,GradientBoosting,fp_rate,4,0.12987012987012986
555,GradientBoosting,fp_rate,5,0.14285714285714285
556,GradientBoosting,fp_rate,6,0.11688311688311688
557,GradientBoosting,fp_rate,7,0.14285714285714285
558,GradientBoosting,fp_rate,8,0.2894736842105263
559,GradientBoosting,fp_rate,9,0.19736842105263158
560,GradientBoosting,fn_rate,0,0.012987012987012988
